prefix	title	tag	label	flag	num	text_1	text_2	text_3	text_4	text_5	text_6	text_7	text_8	text_9	text_10	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
福利|彩	福建|福利彩票|网	网站	0	train	10	福利彩票	福利彩票|开奖|结果	福利彩票|双色球	福利彩票|3d	福利彩票|双色球|走势图	福利彩票|开奖	福利彩票|双色球|开奖	福利彩票|开奖|结果|查询	福利彩票|3d|开奖|结果	福利彩票|3d|走势图	0.560	0.088	0.057	0.023	0.021	0.017	0.016	0.012	0.012	0.011
郭晓	郭晓东	百科	1	train	10	郭晓东	郭晓婷	郭晓东|程莉沙	郭晓冬	郭晓敏	郭晓峰	郭晓东|程莉莎	郭晓东|程莉莎|儿子	郭晓然	郭晓冬|第一任|老婆	0.436	0.072	0.056	0.053	0.040	0.038	0.035	0.020	0.014	0.012
问道|手游	问道|纸短情长	游戏	0	train	10	问道|手游|官网	问道|手游|聚宝|斋	问道|手游|sf	问道|手游|雷霆|官网	问道|手游私|sf|无限|元宝	问道|手游|探案|人口|失踪	问道|手游|私服	问道|手游|官网|雷霆|版	问道|手游|探案|天外|之谜	问道|手游|探案|任务	0.082	0.062	0.020	0.019	0.018	0.017	0.013	0.011	0.008	0.008
青岛|德国	乐家轩|老街|里|主题|客栈|青岛|德国|风情街|店|)	酒店	0	train	10	青岛|德国|风情街	青岛|德国|监狱	青岛|德国|总督府	青岛|德国|建筑群	青岛|德国|风情街|好玩|吗	青岛|德国|皇宫	青岛|德国|小|皇宫	青岛|德国|监狱|门票	青岛|德国|总督府|门票	青岛|德国|地下|皇宫	0.567	0.085	0.066	0.058	0.037	0.021	0.014	0.014	0.013	0.013
香辣	香辣虾|的|做法	菜谱	0	train	10	香辣虾|的|做法	香辣|姜葱|爆炒|花甲	香辣|小龙虾	香辣|花甲	香辣蟹|的|做法	香辣|鸡翅	香辣虾	香辣蟹	香辣|鸡脚	香辣虾|干锅|加盟	0.105	0.050	0.041	0.040	0.036	0.034	0.033	0.031	0.027	0.017
马自达	马自达	汽车	1	train	10	马自达|cx4	马自达|cx5	马自达|6	马自达|cx|一|4	马自达|mx5	马自达|3	马自达|昂克|赛拉	马自达|阿特|兹	马自达|3|昂克|赛拉	马自达|阿特|兹|2018	0.057	0.056	0.055	0.052	0.047	0.039	0.038	0.020	0.019	0.016
黑龙江|农垦	黑龙江|农垦|职业|学院|师范|系	百科	0	train	10	黑龙江|农垦|职业|学院	黑龙江|农垦|大学	黑龙江|农垦|总局	黑龙江|农垦|职业|学院|吧	黑龙江|农垦|改革	黑龙江|农垦|职业	黑龙江|农垦|学院|官网	黑龙江|农垦|公积金|查询	黑龙江|农垦|总医院	黑龙江|农垦|科技	0.890	0.019	0.008	0.007	0.005	0.005	0.004	0.004	0.004	0.004
罗红霉素	罗红霉素|胶囊	健康	1	train	10	罗红霉素|胶囊	罗红霉素|分散片	罗红霉素|片	罗红霉素|胶囊|说明书	罗红霉素|分散片|说明书	罗红霉素|软膏	罗红霉素|是|消炎药|吗	罗红霉素|软胶囊	罗红霉素|颗粒	罗红霉素|胶囊|治|什么|病	0.199	0.106	0.102	0.087	0.058	0.024	0.021	0.015	0.014	0.007
apple	AppleMusic	应用	0	train	10	appleid	apple|·|comzhcn	appleid	applewatch	appleid|注册	applepay	apple|官网	apple|中国	applepencil	appleid|被|停用|怎么办	0.097	0.054	0.054	0.032	0.024	0.019	0.018	0.014	0.012	0.012
恶霸	美国|恶霸|犬	百科	1	train	10	恶霸|犬	恶霸|犬|图片	恶霸|鲁尼	恶霸|犬|价格	恶霸|难当	恶霸|犬|多少|钱|一只	恶霸|犬|为啥|养|的|都|后悔	恶霸|鲁尼|手机|版|中文	恶霸|鲁尼|英语课	恶霸|鲁尼|游戏|下载	0.236	0.114	0.107	0.036	0.032	0.027	0.018	0.017	0.013	0.013
肾虚|的	肾虚|的|调理|方法	百科	1	train	10	肾虚|的|症状	肾虚|的|表现	肾虚|的|症状|有|哪些	肾虚|的|原因	肾虚|的|危害	肾虚|的|特征	肾虚|的|调理|方法	肾虚|的|表现|男	肾虚|的|症状|女人	肾虚|的|一些|症状	0.474	0.303	0.071	0.025	0.011	0.011	0.008	0.007	0.007	0.006
欢	欢乐|捕鱼|人|天天|赢|话费	游戏	0	train	9	欢乐|斗地主	欢喜|记事	欢乐颂	欢乐|斗地主|下载	欢乐颂|2	欢乐|喜剧|人	欢乐谷|玛雅|水|公园	欢乐谷	欢乐|斗地主|腾讯	PAD	0.059	0.059	0.037	0.028	0.022	0.020	0.018	0.016	0.011	0.000
酷	酷狗|直播	应用	0	train	10	酷狗|音乐	酷狗	酷狗|音乐|下载	酷|我|音乐	酷狗|音乐|下载安装|2018	酷跑	酷|的|滕	酷狗|音乐|播放器	酷狗|音乐	酷安	0.172	0.062	0.041	0.033	0.028	0.027	0.016	0.012	0.011	0.009
哈苏	孕|中期|可以|喝|娃哈哈|苏打水|吗	健康	0	train	10	哈苏|相机	哈苏|x1d	哈苏|相机|是|哪个|国家|的	哈苏|镜头	哈苏|h6d	哈苏|h6d|-|400cms	哈苏|相机|为什么|那么|贵	哈苏|旗舰店	哈苏|相机|报价	哈苏|h6d|-|100c	0.239	0.053	0.043	0.041	0.033	0.023	0.019	0.016	0.016	0.015
中国	中国移动	网站	0	train	9	中国|地图	中国|卫生|人才网	中国|好|声音|2018	中国|好|声音	中国邮政|快递|查询	中国|教育|考试网	中国|人事|考试网	中国|新|说唱	中国银行	PAD	0.033	0.028	0.020	0.008	0.008	0.007	0.006	0.006	0.006	0.000
百	百度|地图	应用	0	train	10	百度|一下	百度	百度|翻译	百度|地图	百世|快递|单|号|查询	百世|快递	百度|贴|吧	百度网|盘	百度|翻译|在线翻译	百姓网	0.809	0.051	0.010	0.006	0.005	0.003	0.002	0.002	0.002	0.002
中国	中国移动|怎么|退订|业务	经验	0	train	9	中国|地图	中国|卫生|人才网	中国|好|声音|2018	中国|好|声音	中国邮政|快递|查询	中国|教育|考试网	中国|人事|考试网	中国|新|说唱	中国银行	PAD	0.033	0.028	0.020	0.008	0.008	0.007	0.006	0.006	0.006	0.000
中国	中国联通	网站	1	train	9	中国|地图	中国|卫生|人才网	中国|好|声音|2018	中国|好|声音	中国邮政|快递|查询	中国|教育|考试网	中国|人事|考试网	中国|新|说唱	中国银行	PAD	0.033	0.028	0.020	0.008	0.008	0.007	0.006	0.006	0.006	0.000
周公|解梦	周公|解梦	应用	0	train	10	周公|解梦|大全|查询	周公|解梦|原版	周公|解梦|大全|查询|梦见	周公|解梦|2345	周公|解梦|大全	周公|解梦|查询	周公|解梦|大全|查询|2345	周公|解梦|大全|查询|梦	周公|解梦|破解|大全|查询	周公|解梦|原版|大全|版	0.268	0.087	0.039	0.033	0.023	0.016	0.013	0.012	0.005	0.003
中国	中国联通	网站	0	train	9	中国|地图	中国|卫生|人才网	中国|好|声音|2018	中国|好|声音	中国邮政|快递|查询	中国|教育|考试网	中国|人事|考试网	中国|新|说唱	中国银行	PAD	0.033	0.028	0.020	0.008	0.008	0.007	0.006	0.006	0.006	0.000
中国	中国移动	网站	0	train	9	中国|地图	中国|卫生|人才网	中国|好|声音|2018	中国|好|声音	中国邮政|快递|查询	中国|教育|考试网	中国|人事|考试网	中国|新|说唱	中国银行	PAD	0.033	0.028	0.020	0.008	0.008	0.007	0.006	0.006	0.006	0.000
中国移动	中国移动	应用	0	train	10	中国移动|网上|营业厅	中国移动|营业厅	中国移动|手机|营业厅	中国移动|官网	中国移动|积分|商城	中国移动|厅|网上|营业厅	中国移动|app	中国移动|网上|营业厅|网	中国移动|营业厅|官网	中国移动|流量|套餐	0.150	0.104	0.051	0.022	0.016	0.015	0.008	0.008	0.007	0.006
中国移动	中国移动	网站	0	train	10	中国移动|网上|营业厅	中国移动|营业厅	中国移动|手机|营业厅	中国移动|官网	中国移动|积分|商城	中国移动|厅|网上|营业厅	中国移动|app	中国移动|网上|营业厅|网	中国移动|营业厅|官网	中国移动|流量|套餐	0.150	0.104	0.051	0.022	0.016	0.015	0.008	0.008	0.007	0.006
中国移动	中国移动	网站	0	train	10	中国移动|网上|营业厅	中国移动|营业厅	中国移动|手机|营业厅	中国移动|官网	中国移动|积分|商城	中国移动|厅|网上|营业厅	中国移动|app	中国移动|网上|营业厅|网	中国移动|营业厅|官网	中国移动|流量|套餐	0.150	0.104	0.051	0.022	0.016	0.015	0.008	0.008	0.007	0.006
飞流	飞流	百科	0	train	10	飞流直下三千尺	飞流直下三千尺|猜|地名	飞流|直播	飞流|为什么|叛变	飞流|琅|琊|榜	飞流|结局	飞流直下	飞流直下三千尺|全诗	飞流|的|身世	飞流直下三千尺|是|哪里	0.317	0.132	0.033	0.027	0.022	0.019	0.017	0.012	0.012	0.011
五星红旗	五星红旗	音乐	0	train	10	五星红旗|迎风|飘扬	五星红旗|图片	五星红旗|迎风|飘扬|01	五星红旗|迎风|飘扬|歌词	五星红旗|歌词	五星红旗|图片|大全	五星红旗|迎风|飘扬|2	五星红旗|迎风|飘扬|1	五星红旗|的|含义	五星红旗|简笔画	0.161	0.081	0.044	0.040	0.039	0.032	0.021	0.021	0.018	0.018
籍贯	籍贯|怎么|填写	经验	1	train	10	籍贯|怎么|填写	籍贯|是|什么|意思	籍贯|是|什么	籍贯|怎么|填写|才|正确	籍贯|怎么|填	籍贯|是|填省|还是|市	籍贯|是|什么|意思|怎么|填	籍贯|怎么|填写|才|规范	籍贯|怎么|写	籍贯|什么|意思	0.434	0.178	0.035	0.030	0.028	0.021	0.009	0.009	0.007	0.004
老|鸭汤	老|鸭汤|的|做法	菜谱	0	train	10	老|鸭汤|的|做法	老|鸭汤|的|功效|与|作用	老|鸭汤|怎么|做	老|鸭汤|的|做法|大|全家|常	老|鸭汤|里面|煮|什么|配菜	老|鸭汤|的|家常|做法	老|鸭汤|图片	老|鸭汤|的|功效	老|鸭汤|怎么|炖|好喝	老|鸭汤|怎么|做|好吃	0.566	0.092	0.039	0.031	0.008	0.008	0.007	0.007	0.006	0.006
全本	全本|免费小说|阅读器	应用	1	train	10	全本|小说网	全本|免费|阅读器	全本|免费小说	全本|免费|完结|小说	全本|小说	全本|小说|下载	全本|免费	全本|免费|书城	全本|免费|完结|小说|大全	全本|免费小说|网	0.186	0.082	0.063	0.062	0.050	0.040	0.027	0.026	0.020	0.019
华东	华东政法|大学|-|旅游|攻略	旅游	0	train	10	华东师范大学	华东理工大学	华东|交通|大学	华东政法|大学	华东|交通|大学|理工学院	华东|五市|是|哪五市	华东|五市	华东师范大学|研究生院	华东师范	华东政法	0.188	0.112	0.109	0.095	0.043	0.020	0.016	0.016	0.013	0.009
农业银行	中国农业银行	应用	1	train	10	农业银行|电话	农业银行|信用卡	农业银行|客服|电话	农业银行|官网	农业银行|信用卡|电话	农业银行|app	农业银行|信用卡|申请	农业银行|网上银行	农业银行|股票	农业银行|手机|银行	0.137	0.082	0.040	0.026	0.017	0.015	0.013	0.009	0.008	0.008
望远镜	望远镜	百科	1	train	10	望远镜|多少倍|最好	望远镜|什么|牌子|的|好	望远镜	望远镜|是|谁|发明|的	望远镜|原理	望远镜|品牌	望远镜|价格	望远镜|图片	望远镜|简笔画	望远镜|选购	0.118	0.091	0.041	0.035	0.025	0.017	0.015	0.012	0.012	0.010
中医	成都|中医药大学|教务|网	网站	0	train	10	中医|背部|刮痧|示意图	中医|体质|辨识|舌诊|挂图	中医学	中医|面诊	中医学|专业	中医院	中医药大学	中医|面部|刮痧|示意图	中医|舌诊|挂图	中医|世家	0.041	0.028	0.027	0.021	0.017	0.011	0.010	0.010	0.009	0.009
陌陌	陌陌	音乐	0	train	8	陌陌|下载	陌陌|手机|版|官方|下载	陌陌|交友	陌陌|直播	陌陌|下载安装	陌陌|平台	陌陌|晒奶	陌陌|头像	PAD	PAD	0.129	0.032	0.023	0.017	0.009	0.009	0.008	0.008	0.000	0.000
4|年级	4|年级|语文学|练考|答案	知道	0	train	10	4|年级|数学计算|题	4|年级|上册|语文|书	4|年级|上册|英语书|单词	4|年级|作文	4|年级|下册|语文|书|课文	4|年级|200|字|日记|十篇	4|年级|下册|口算及|答案	4|年级|英语	4|年级|下册|数学计算|题	4|年级|英语|学习	0.070	0.057	0.039	0.038	0.034	0.026	0.025	0.020	0.015	0.014
汽车|之|家	汽车|之|家	网站	1	train	10	汽车|之家|2018|最新|报价	汽车|之家|官网	汽车|之家|2018	汽车|之|家|报价	汽车|之家|2018|最新	汽车|之家|2017	汽车|之|家|汽车报价	汽车|之|家	汽车|之家|官网|首页	汽车|之|家|网站|首页	0.147	0.067	0.031	0.015	0.005	0.004	0.004	0.003	0.003	0.003
平均寿命	我国|人|的|平均寿命|是|多少	知道	1	train	3	平均寿命|最高|的|国家	平均寿命|怎么|计算	平均寿命|最短|的|国家	PAD	PAD	PAD	PAD	PAD	PAD	PAD	0.159	0.048	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000
汽车|之|家	汽车|之|家	应用	0	train	10	汽车|之家|2018|最新|报价	汽车|之家|官网	汽车|之家|2018	汽车|之|家|报价	汽车|之家|2018|最新	汽车|之家|2017	汽车|之|家|汽车报价	汽车|之|家	汽车|之家|官网|首页	汽车|之|家|网站|首页	0.147	0.067	0.031	0.015	0.005	0.004	0.004	0.003	0.003	0.003
土豆|红烧肉	土豆|红烧肉	百科	0	train	10	土豆|红烧肉|的|做法	土豆|红烧肉|的|家常|做法	土豆|红烧肉|的|懒人|做法	土豆|红烧肉|怎么|做	土豆|红烧肉|最|正宗|做法	土豆|红烧肉|做法	土豆|红烧肉|的|做法|家常	土豆|红烧肉|百度|百科	土豆|红烧肉|图片	土豆|红烧肉|的|做法|窍门	0.288	0.069	0.023	0.020	0.019	0.008	0.006	0.005	0.005	0.004
天津|中医药	健客|网上药店	应用	0	train	10	天津|中医药大学	天津|中医药大学|官网	天津|中医药大学|新|校区	天津|中医药大学|招生网	天津|中医药大学|宿舍	天津|中医药大学|是|几本	天津|中医药大学|贴|吧	天津|中医药大学|是|211|吗	天津|中医药|医院	天津|中医药大学|研究生	0.735	0.105	0.014	0.014	0.013	0.011	0.009	0.008	0.006	0.005
委托书	委托书|公证	百科	0	train	10	委托书|怎么|写	委托书|范本	委托书|公证	委托书|格式	委托书|模板	委托书|怎么|写|范文	委托书|样本	委托书|格式|范文	委托书|百度|百科	委托书|怎么|写|什么|格式	0.302	0.135	0.083	0.060	0.041	0.013	0.007	0.006	0.006	0.005
娘道	28|方卿|见|姑娘|道	音乐	0	train	10	娘道|电视剧	娘道|演员表	娘道|剧情|介绍	娘道|剧情	娘道|的|演员	娘道|电视剧|全集	娘道|百度|百科	娘道|电视剧|演员表	娘道|剧情|分|集|剧情简介	娘道|电视剧|全集|第一集	0.306	0.045	0.033	0.024	0.019	0.016	0.013	0.007	0.007	0.006
娘道	娘道	百科	1	train	10	娘道|电视剧	娘道|演员表	娘道|剧情|介绍	娘道|剧情	娘道|的|演员	娘道|电视剧|全集	娘道|百度|百科	娘道|电视剧|演员表	娘道|剧情|分|集|剧情简介	娘道|电视剧|全集|第一集	0.306	0.045	0.033	0.024	0.019	0.016	0.013	0.007	0.007	0.006
中国|地震	中国|地震台	百科	0	train	10	中国|地震|网	中国|地震|台网	中国|地震带	中国|地震台|网速|报	中国|地震|网|最新消息	中国地震局	中国|地震|网|最新消息|息	中国|地震|信息网	中国地震局|最新消息	中国地震局|官网	0.301	0.217	0.091	0.073	0.068	0.034	0.019	0.017	0.016	0.016
宋美龄	宋美龄|墓	百科	0	train	10	宋美龄|不|光彩|的|晚年	宋美龄|简介|资料	宋美龄|和|宋庆龄	宋美龄|简历	宋美龄|睡|了|蒋经国	宋美龄|和|张学良	宋美龄|年轻|照片	宋美龄|吃|几十年|安眠药	宋美龄|张学良	宋美龄|蒋介石	0.060	0.032	0.029	0.023	0.019	0.016	0.015	0.014	0.012	0.009
山药|红	山药|红枣|粥|的|做法	菜谱	1	train	10	山药|红枣|猪蹄|汤	山药|红枣|排骨汤	山药|红枣|粥	山药|红枣|糕	山药|红豆|糕	山药|红豆|薏|米粉|的|功效	山药|红枣汤	山药|红枣|泥	山药|红枣|粥|的|功效	山药|红枣	0.278	0.152	0.113	0.067	0.064	0.033	0.027	0.021	0.019	0.016
日薄	日薄西山|情|依依	音乐	0	train	10	日薄西山	日薄西山|的|意思	日薄西山|的|读音|是|什么	日薄|寒空敛|红袖	日薄西山|读音	日薄西山|的|读音	日薄西山|什么|意思	日薄西山|的|意思|是|什么	日薄西山|的|薄	日薄西山|是|什么|意思	0.619	0.196	0.039	0.015	0.014	0.013	0.013	0.012	0.012	0.011
建档立卡	建档立卡|贫困户|的|建档|号|在|哪里|可以|知道	知道	1	train	10	建档立卡|户|是|什么|意思	建档立卡|贫困户	建档立卡|户	建档立卡|贫困户|查询	建档立卡|贫困户|是|什么	建档立卡|是|什么|意思	建档立卡|户|查询|系统	建档立卡|贫困户|证明	建档立卡|户|一年|多少|钱	建档立卡|是|什么	0.254	0.069	0.039	0.027	0.026	0.024	0.018	0.014	0.013	0.012
医疗事故	医疗事故|处理|条例|：|立案|·|管辖|·|证据|·|裁判|案例|应用|版	阅读	0	train	10	医疗事故|处理|条例	医疗事故|赔偿标准	医疗事故|分级	医疗事故|鉴定	医疗事故|医院|最|怕|什么	医疗事故|分级|标准	医疗事故|找|哪个|部门	医疗事故|官司|怎么|打	医疗事故|罪	医疗事故|分|几级	0.168	0.083	0.079	0.074	0.064	0.023	0.020	0.018	0.018	0.013
征信	信用|查询|征信|查询	应用	0	train	10	征信|查询	征信|中心	征信|中心|个人信用|查询	征信|报告	征信|怎么|查	征信|报告|去|哪里|打	征信|是|什么	征信|是|什么|意思	征信|黑名单	征信|中心|官网	0.167	0.068	0.059	0.055	0.054	0.025	0.024	0.013	0.012	0.011
征信	征信|-|个人|征信|查询	应用	0	train	10	征信|查询	征信|中心	征信|中心|个人信用|查询	征信|报告	征信|怎么|查	征信|报告|去|哪里|打	征信|是|什么	征信|是|什么|意思	征信|黑名单	征信|中心|官网	0.167	0.068	0.059	0.055	0.054	0.025	0.024	0.013	0.012	0.011
盐酸|多柔|比星	注射液|盐酸|多柔|比星|脂质体|注射液	百科	1	train	2	盐酸|多柔|比星|脂质体	盐酸|多柔|比星|价格	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	0.666	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
急性	急性|荨麻疹|症状	百科	0	train	10	急性|荨麻疹	急性|肠胃炎	急性|肠胃炎|症状	急性|阑尾炎	急性|胰腺炎	急性|肠胃炎|吃|什么|药	急性|白血病	急性|肠炎	急性|肠胃炎|吃|什么|食物	急性|胃肠炎	0.127	0.076	0.033	0.028	0.024	0.019	0.014	0.014	0.012	0.011
承诺书	离婚|承诺书	百科	0	train	10	承诺书|范文	承诺书|怎么|写	承诺书|格式	承诺书|模板	承诺书|有|法律效力|吗	承诺书|怎么|写|格式|范文	承诺书|百度|百科	承诺书|范文|大全	承诺书|格式|图片	承诺书|格式|范文	0.140	0.083	0.035	0.024	0.019	0.008	0.007	0.005	0.005	0.004
文静	邓|文静	百科	0	train	9	文静|微博	文静|快手	文静|内涵|优雅|女生|网名	文静|是|赵本山|的|徒弟|吗	文静|的|英文	文静|个人资料	文静|的|反义词	文静|直播|吴迪大|骂	文静|吴迪	PAD	0.042	0.037	0.032	0.026	0.025	0.023	0.021	0.020	0.017	0.000
漳州|卫	漳州|卫生|职业|学院	百科	0	train	10	漳州|卫生|职业|学院	漳州|卫生|职业|学院|官网	漳州|卫生|职业|学院|贴|吧	漳州|卫生|职业|学院|宿舍	漳州|卫校|职业|学院	漳州|卫校	漳州|卫生|职业|技术|学院	漳州|卫生|职业|学校	漳州|卫生|人才网	漳州|卫校|官网	0.536	0.177	0.042	0.041	0.039	0.032	0.016	0.010	0.010	0.006
喝|蜂蜜|有|什么|好处	早上|喝|蜂蜜|有|什么|好处	健康	0	train	1	喝|蜂蜜|有|什么|好处	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
平安	平安|金|管家	应用	1	train	10	平安|e|行销网	平安|e|行销	平安保险	平安|金|管家	平安|银行	平安|普惠	平安|银行|信用卡	平安|好|医生	平安保险|电话	平安|银行|电话	0.085	0.046	0.032	0.027	0.026	0.017	0.016	0.015	0.014	0.013
公主	公主|小妹	百科	1	train	10	公主|小妹	公主|头	公主|宝贝|玩具|秀	公主|兔	公主岭|天气预报	公主|游戏	公主|的|奢靡|生活|三	公主|的|房间	公主|简笔画	公主|从小|塞|玉器	0.028	0.024	0.018	0.016	0.015	0.015	0.014	0.014	0.014	0.013
桕	桕	百科	1	train	10	桕|怎么|读	桕|树	桕|树|的|读音	桕|的|读音	桕|树|的|拼音	桕|怎么|读音	桕|的|拼音	桕|读音	桕|子|养心|丸|的|作用	桕|树|图片	0.743	0.064	0.063	0.033	0.021	0.020	0.017	0.011	0.010	0.009
红烧鱼	红烧鱼|的|做法	菜谱	1	train	10	红烧鱼|的|做法	红烧鱼|怎么|做	红烧鱼|块|的|家常|做法	红烧鱼|块	红烧鱼|块|的|做法	红烧鱼|的|家常|做法	红烧鱼|的|做法|和|步骤	红烧鱼|最|简单|的|做法	红烧鱼|做法	红烧|鱼头	0.405	0.052	0.052	0.049	0.029	0.025	0.023	0.017	0.011	0.009
感冒|咳嗽	感冒|咳嗽	健康	0	train	10	感冒|咳嗽|吃|什么|好|的|快	感冒|咳嗽|怎么办	感冒|咳嗽|吃|什么|药	感冒|咳嗽|吃|什么|药好	感冒|咳嗽|能|吃|榴莲|吗	感冒|咳嗽|只|需|一粒|蒜	感冒|咳嗽|能|吃|火龙果|吗	感冒|咳嗽|有|痰	感冒|咳嗽|吃|什么|水果	感冒|咳嗽|颗粒	0.181	0.038	0.025	0.021	0.019	0.015	0.014	0.011	0.009	0.008
滴滴|司机	滴滴|司机	应用	1	train	10	滴滴|司机|杀人案	滴滴|司机|注册	滴滴|司机|端|下载	滴滴|司机|要求	滴滴|司机|曝光|外挂	滴滴|司机|怎么|注册	滴滴|司机|收入|曝光	滴滴|司机|招聘	滴滴|司机|端	滴滴|司机|打伤|乘客	0.097	0.038	0.035	0.027	0.027	0.014	0.013	0.012	0.012	0.011
考研	考研	应用	0	train	10	考研|时间	考研|的|条件	考研网	考研|科目	考研|报名|时间	考研|英语	考研|政治|怎么|复习	考研|歧视|最|严重|的|高校	考研|时间|2019|具体|时间	考研|流程	0.045	0.020	0.017	0.017	0.016	0.012	0.011	0.009	0.009	0.008
生物科学	生物科学|专业|描述	知道	1	train	10	生物科学|专业	生物科学|专业|就业|前景	生物科学|类	生物科学|专业|大学排名	生物科学|师范类	生物科学|就业|前景|女生	生物科学|考研|方向	生物科学|类|就业|方向	生物科学|专业|就业|方向	生物科学|类|专业	0.291	0.102	0.035	0.022	0.013	0.011	0.011	0.011	0.008	0.008
白癫	白癫疯	健康	0	train	10	白癫疯	白癫疯|初期|图片	白癫风	白癫风|识别|图片	白癫风|怎么|冶	白癫风|禁止|吃|什么	白癫疯|图片	白癫风|的|前兆|是|什么	白癫疯|传染|吗	白癫风|病|的|图片	0.224	0.060	0.053	0.035	0.030	0.024	0.023	0.022	0.018	0.016
菜|肉包	白菜|肉包子|的|做法	菜谱	0	train	2	菜|肉包子|的|做法	菜肉|包子馅|的|做法	PAD	PAD	PAD	PAD	PAD	PAD	PAD	PAD	0.598	0.402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	NET|安全|揭秘	阅读	0	train	8	火车票	com|白小姐|传密|a|面	新闻	的|那一刻	com1|把	com|白小姐|传密	微信	net	PAD	PAD	0.032	0.028	0.027	0.027	0.026	0.026	0.025	0.021	0.000	0.000
合肥|到|淮北	合肥|到|淮北|火车票	火车	1	train	10	合肥|到|淮北|火车	合肥|到|淮北|汽车	合肥|到|淮北|高铁	合肥|到|淮北|火车|时刻表	合肥|到|淮北|的|火车	合肥|到|淮北|的|汽车	合肥|到|淮北|高铁|时刻表	合肥|到|淮北|汽车|时刻表	合肥|到|淮北|的|火车票	合肥|到|淮北|的|高铁	0.271	0.126	0.120	0.114	0.067	0.031	0.029	0.022	0.016	0.013
左|腋下	左|腋下|淋巴结|肿大|最大|有|1	知道	0	train	10	左|腋下|疼痛	左|腋下|疼痛|是|什么|原因	左|腋下|有|痣	左|腋下|疼	左|腋下|淋巴结|肿大	左|腋下|疼|是|怎么回事	左|腋下|有|痣|的|女人	左|腋下|有|肿块	左|腋下|痣|相|图解|大全	左|腋下|有|一个|小|疙瘩	0.218	0.134	0.129	0.084	0.050	0.048	0.036	0.034	0.027	0.026
芦笋	芦笋|的|家常|做法	经验	0	train	10	芦笋|怎么|做|好吃	芦笋|的|做法	芦笋|炒肉	芦笋|图片	芦笋|的|功效|与|作用	芦笋|炒鸡蛋	芦笋|种植	芦笋|要|削皮|吗	芦笋|的|做法|大全	芦笋|为什么|要焯|水	0.178	0.057	0.055	0.050	0.050	0.016	0.015	0.010	0.010	0.010
英文字母	英文字母	百科	0	train	10	英文|字母表	英文字母|歌	英文字母|26|个|读法	英文字母|a	英文字母|c	英文字母|b	英文字母|大小写	英文字母|歌|儿歌|视频	英文字母|纹身	英文字母|发音	0.154	0.095	0.063	0.034	0.031	0.026	0.025	0.022	0.017	0.016
血栓	血栓|痔	百科	0	train	10	血栓|的|症状	血栓|是|怎么|形成|的	血栓|通	血栓|的|最快|消除|方法	血栓|通|胶囊	血栓|外痔	血栓|通|注射剂|说明书	血栓性|外痔	血栓|脱落	血栓|是|什么	0.108	0.068	0.051	0.049	0.032	0.030	0.029	0.022	0.021	0.020
中学生|日	中学生|日常|行为规范	百科	1	train	10	中学生|日常|行为规范	中学生|日记	中学生|日记|300|字|大全	中学生|日记|200|字|大全	中学生|日记|100|字|左右	中学生|日记|500|字|大全	中学生|日记|大全	中学生|日记|400|字|大全	中学生|日记|100|字|大全	中学生|日记|200|字	0.441	0.176	0.078	0.073	0.029	0.029	0.023	0.017	0.014	0.013
冬瓜	冬瓜	百科	0	train	10	冬瓜|的|做法	冬瓜汤	冬瓜|排骨汤	冬瓜|怎么|做|好吃	冬瓜汤|的|做法	冬瓜|排骨汤|的|做法	冬瓜|炒肉	冬瓜|荷叶茶	冬瓜|粉丝汤	冬瓜汤|的|做法|大|全家|常	0.110	0.063	0.057	0.044	0.030	0.016	0.015	0.014	0.011	0.011
房贷|计算器	房贷|计算器|2018	应用	0	train	10	房贷|计算器|2018	房贷|计算器|在线|计算	房贷|计算器|最新|2018	房贷|计算器|2018|在线	房贷|计算器|最新|2017	房贷|计算器|2018|贷款	房贷|计算器|2017	房贷|计算器|最新	房贷|计算器|下载	房贷|计算器|2018|年	0.153	0.033	0.010	0.005	0.005	0.003	0.002	0.001	0.001	0.001
途观	全新|途观	百科	0	train	10	途观|l	途观|l|价格	途观|最新|报价	途观|l|图片	途观|l|最新|报价	途观|l2018|款	途观|suv	途观|l|美版	途观|丝绸之路	途观车|价格	0.295	0.066	0.040	0.026	0.014	0.007	0.007	0.006	0.006	0.005
醋溜	醋溜|土豆丝	百科	0	train	10	醋溜|土豆丝	醋溜|白菜	醋溜|白菜|的|做法	醋溜|土豆丝|的|做法	醋溜|绿豆芽	醋溜|娃娃|菜	醋溜|西葫芦	醋溜|豆芽	醋溜|藕片	醋溜|儿|文学	0.260	0.149	0.101	0.056	0.032	0.018	0.017	0.016	0.016	0.014
